,time,mu_real,mu_imag
1,0.0002,-0.596183353341,-3.98102217309e-08
2,0.0004,-0.596183353334,-1.52028248363e-07
3,0.0006,-0.596183353312,-3.36632658155e-07
4,0.0008,-0.596183353276,-5.93632074033e-07
5,0.001,-0.596183353225,-9.23008195114e-07
6,0.0012,-0.596183353035,-1.32480257866e-06
7,0.0014,-0.59618335273,-1.79874792014e-06
8,0.0016,-0.596183352401,-2.34507255519e-06
9,0.0018,-0.596183351933,-2.96368260223e-06
10,0.002,-0.59618335145,-3.65467418469e-06
11,0.0022,-0.596183350728,-4.41801724781e-06
12,0.0024,-0.596183349871,-5.25352245515e-06
13,0.0026,-0.596183348774,-6.16116919927e-06
14,0.0028,-0.596183347643,-7.14094405316e-06
15,0.003,-0.596183346258,-8.19288280219e-06
16,0.0032,-0.59618334462,-9.31709388558e-06
17,0.0034,-0.596183342833,-1.05132380061e-05
18,0.0036,-0.596183340682,-1.17815153905e-05
19,0.0038,-0.596183338294,-1.31217000338e-05
20,0.004,-0.596183335758,-1.45339245136e-05
21,0.0042,-0.596183332973,-1.60180456767e-05
22,0.0044,-0.596183329822,-1.75739766794e-05
23,0.0046,-0.596183326411,-1.92017098575e-05
24,0.0048,-0.596183322626,-2.09012224082e-05
25,0.005,-0.596183318462,-2.26724254569e-05
26,0.0052,-0.59618331405,-2.45151802627e-05
27,0.0054,-0.596183309269,-2.6429508358e-05
28,0.0056,-0.596183304013,-2.84152827712e-05
29,0.0058,-0.59618329839,-3.04726236384e-05
30,0.006,-0.596183292402,-3.26014186806e-05
31,0.0062,-0.596183286035,-3.48014327862e-05
32,0.0064,-0.596183279179,-3.70726985053e-05
33,0.0066,-0.596183271819,-3.94152040847e-05
34,0.0068,-0.596183263969,-4.18285861851e-05
35,0.007,-0.596183255745,-4.43130694084e-05
36,0.0072,-0.596183246922,-4.68685533186e-05
37,0.0074,-0.596183237704,-4.9494824744e-05
38,0.0076,-0.596183227893,-5.21918637999e-05
39,0.0078,-0.596183217477,-5.49595570795e-05
40,0.008,-0.596183206575,-5.77978181537e-05
41,0.0082,-0.596183195166,-6.07063548154e-05
42,0.0084,-0.596183183012,-6.36853449192e-05
43,0.0086,-0.596183170258,-6.67346770048e-05
44,0.0088,-0.596183156901,-6.98541890463e-05
45,0.009,-0.596183142937,-7.30437157196e-05
46,0.0092,-0.596183128245,-7.63032219127e-05
47,0.0094,-0.596183112954,-7.96325820858e-05
48,0.0096,-0.596183097056,-8.30317496492e-05
49,0.0098,-0.596183080415,-8.65005241991e-05
50,0.01,-0.596183063165,-9.00388395616e-05
51,0.0102,-0.596183045084,-9.36465891822e-05
52,0.0104,-0.596183026385,-9.73235268266e-05
53,0.0106,-0.596183006842,-0.000101069671766
54,0.0108,-0.596182986466,-0.000104885036864
55,0.011,-0.596182965356,-0.00010876914867
56,0.0112,-0.596182943405,-0.000112722108902
57,0.0114,-0.596182920713,-0.00011674372556
58,0.0116,-0.59618289719,-0.000120833847247
59,0.0118,-0.596182872932,-0.000124992384477
60,0.012,-0.596182847836,-0.000129219137716
61,0.0122,-0.596182821912,-0.000133514098823
62,0.0124,-0.596182795015,-0.000137876905999
63,0.0126,-0.596182767384,-0.000142307440062
64,0.0128,-0.596182738794,-0.000146805725573
65,0.013,-0.596182709356,-0.000151371548785
66,0.0132,-0.596182678979,-0.000156004674451
67,0.0134,-0.59618264774,-0.0001607050723
68,0.0136,-0.596182615537,-0.000165472548512
69,0.0138,-0.596182582361,-0.00017030701627
70,0.014,-0.596182548235,-0.000175208217072
71,0.0142,-0.596182512904,-0.000180175950477
72,0.0144,-0.596182476607,-0.000185210215319
73,0.0146,-0.596182439341,-0.00019031066114
