,time,mu_real,mu_imag
1,0.0002,-0.26773208628,-5.6582694444e-08
2,0.0004,-0.267732086268,-2.16002719759e-07
3,0.0006,-0.26773208623,-4.78373071354e-07
4,0.0008,-0.267732086168,-8.43623871155e-07
5,0.001,-0.267732086066,-1.31161857673e-06
6,0.0012,-0.267732085869,-1.88258455691e-06
7,0.0014,-0.267732085417,-2.55632996777e-06
8,0.0016,-0.267732084787,-3.33291298221e-06
9,0.0018,-0.267732084045,-4.21231278526e-06
10,0.002,-0.267732083031,-5.19422380443e-06
11,0.0022,-0.26773208188,-6.27903157476e-06
12,0.0024,-0.267732080329,-7.46648306755e-06
13,0.0026,-0.267732078589,-8.75653968352e-06
14,0.0028,-0.267732076552,-1.01492274918e-05
15,0.003,-0.267732074185,-1.16442755053e-05
16,0.0032,-0.267732071501,-1.32419429589e-05
17,0.0034,-0.267732068322,-1.49420168269e-05
18,0.0036,-0.267732064745,-1.67445471037e-05
19,0.0038,-0.26773206069,-1.86491636485e-05
20,0.004,-0.26773205625,-2.06563309359e-05
21,0.0042,-0.267732051417,-2.27656176621e-05
22,0.0044,-0.26773204601,-2.4977092506e-05
23,0.0046,-0.267732040128,-2.72907057835e-05
24,0.0048,-0.267732033602,-2.97061995186e-05
25,0.005,-0.267732026536,-3.22235406574e-05
26,0.0052,-0.267732018861,-3.48425992592e-05
27,0.0054,-0.267732010551,-3.75634352127e-05
28,0.0056,-0.267732001567,-4.03859615752e-05
29,0.0058,-0.267731991861,-4.3310063801e-05
30,0.006,-0.267731981588,-4.63354551821e-05
31,0.0062,-0.267731970568,-4.94623515269e-05
32,0.0064,-0.267731958871,-5.26904682053e-05
33,0.0066,-0.267731946244,-5.60196747807e-05
34,0.0068,-0.267731932757,-5.94499851486e-05
35,0.007,-0.267731918547,-6.29811487563e-05
36,0.0072,-0.267731903472,-6.6613132111e-05
37,0.0074,-0.267731887555,-7.03457852143e-05
38,0.0076,-0.267731870769,-7.41790084616e-05
39,0.0078,-0.267731852968,-7.8112594815e-05
40,0.008,-0.26773183423,-8.21464021782e-05
41,0.0082,-0.267731814562,-8.62804452522e-05
42,0.0084,-0.267731793824,-9.05145608669e-05
43,0.0086,-0.267731772095,-9.4848467971e-05
44,0.0088,-0.267731749368,-9.92823018182e-05
45,0.009,-0.267731725433,-0.000103815578947
46,0.0092,-0.267731700571,-0.000108448270023
47,0.0094,-0.26773167442,-0.000113180100167
48,0.0096,-0.267731647135,-0.000118011029231
49,0.0098,-0.267731618736,-0.00012294112995
50,0.01,-0.267731589058,-0.000127970001243
51,0.0102,-0.267731558019,-0.000133097575156
52,0.0104,-0.267731525923,-0.000138323454719
53,0.0106,-0.267731492509,-0.000143647516797
54,0.0108,-0.267731457873,-0.000149069789655
55,0.011,-0.267731421848,-0.000154589993633
56,0.0112,-0.267731384436,-0.000160208156836
57,0.0114,-0.267731345771,-0.000165923725889
58,0.0116,-0.267731305695,-0.000171736635609
59,0.0118,-0.267731264258,-0.000177646766301
60,0.012,-0.267731221251,-0.000183653844135
61,0.0122,-0.267731176817,-0.000189757649352
62,0.0124,-0.267731130935,-0.000195958133322
63,0.0126,-0.267731083539,-0.00020225509219
64,0.0128,-0.267731034588,-0.000208647991266
65,0.013,-0.267730984139,-0.00021513703486
66,0.0132,-0.267730932177,-0.000221721792472
67,0.0134,-0.267730878614,-0.00022840219039
